Sample_ID,idat_file_1,idat_file_2
NK_95_C,207261500121_R04C01_Grn.idat,207261500121_R04C01_Red.idat
NK_97_C,207261500121_R06C01_Grn.idat,207261500121_R06C01_Red.idat
NK_95_D,207261500121_R08C01_Grn.idat,207261500121_R08C01_Red.idat
NK_97_D,207261500126_R02C01_Grn.idat,207261500126_R02C01_Red.idat
NK16neg_95_E,207261500126_R04C01_Grn.idat,207261500126_R04C01_Red.idat
NK16pos_95_E,207261500126_R05C01_Grn.idat,207261500126_R05C01_Red.idat
NK16neg_97_E,207261500126_R07C01_Grn.idat,207261500126_R07C01_Red.idat
NK16pos_97_E,207261500126_R08C01_Grn.idat,207261500126_R08C01_Red.idat
NK16neg_95_F,207261500128_R02C01_Grn.idat,207261500128_R02C01_Red.idat
NK16pos_95_F,207261500128_R03C01_Grn.idat,207261500128_R03C01_Red.idat
NK16neg_97_F,207261500128_R05C01_Grn.idat,207261500128_R05C01_Red.idat
NK16pos_97_F,207261500128_R06C01_Grn.idat,207261500128_R06C01_Red.idat
NK_96_D,207699170084_R01C01_Grn.idat,207699170084_R01C01_Red.idat
NK_98_D,207699170084_R03C01_Grn.idat,207699170084_R03C01_Red.idat
NK16neg_96_E,207699170084_R04C01_Grn.idat,207699170084_R04C01_Red.idat
NK16pos_96_E,207699170084_R05C01_Grn.idat,207699170084_R05C01_Red.idat
NK16neg_98_E,207699170084_R06C01_Grn.idat,207699170084_R06C01_Red.idat
NK16pos_98_E,207699170084_R07C01_Grn.idat,207699170084_R07C01_Red.idat
NK16neg_96_F,207699170084_R08C01_Grn.idat,207699170084_R08C01_Red.idat
NK16pos_96_F,207699170108_R01C01_Grn.idat,207699170108_R01C01_Red.idat
NK16neg_98_F,207699170108_R02C01_Grn.idat,207699170108_R02C01_Red.idat
S1_1,204339380151_R02C01_Grn.idat,204339380151_R02C01_Red.idat
S1_2,204339380151_R03C01_Grn.idat,204339380151_R03C01_Red.idat
S1_3,204339380151_R04C01_Grn.idat,204339380151_R04C01_Red.idat
S1_4,204339380151_R05C01_Grn.idat,204339380151_R05C01_Red.idat
S2A_1,204339380151_R06C01_Grn.idat,204339380151_R06C01_Red.idat
S2A_2,204339380151_R07C01_Grn.idat,204339380151_R07C01_Red.idat
S2A_3,204339380151_R08C01_Grn.idat,204339380151_R08C01_Red.idat
S2A_4,204339380088_R01C01_Grn.idat,204339380088_R01C01_Red.idat
S2B_1,204339380088_R02C01_Grn.idat,204339380088_R02C01_Red.idat
S2B_2,204339380088_R03C01_Grn.idat,204339380088_R03C01_Red.idat
S2B_3,204339380088_R04C01_Grn.idat,204339380088_R04C01_Red.idat
S2B_4,204339380088_R05C01_Grn.idat,204339380088_R05C01_Red.idat
S3_1,203841900060_R03C01_Grn.idat,203841900060_R03C01_Red.idat
S3_2,203841900060_R04C01_Grn.idat,203841900060_R04C01_Red.idat
S3_3,203841900060_R05C01_Grn.idat,203841900060_R05C01_Red.idat
S3_4,203841900060_R06C01_Grn.idat,203841900060_R06C01_Red.idat
S4A_1,203841900067_R02C01_Grn.idat,203841900067_R02C01_Red.idat
S4A_2,203841900067_R03C01_Grn.idat,203841900067_R03C01_Red.idat
S4A_3,203841900067_R04C01_Grn.idat,203841900067_R04C01_Red.idat
S4A_4,203841900067_R05C01_Grn.idat,203841900067_R05C01_Red.idat
S4B_1,203841900068_R02C01_Grn.idat,203841900068_R02C01_Red.idat
S4B_2,203841900068_R03C01_Grn.idat,203841900068_R03C01_Red.idat
S4B_3,203841900068_R04C01_Grn.idat,203841900068_R04C01_Red.idat
S4B_4,203841900068_R05C01_Grn.idat,203841900068_R05C01_Red.idat
S5_1,200876170038_R01C01_Grn.idat,200876170038_R01C01_Red.idat
S5_2,200876170038_R05C01_Grn.idat,200876170038_R05C01_Red.idat
S5_3,200876170040_R01C01_Grn.idat,200876170040_R01C01_Red.idat
,__Grn.idat,__Red.idat
,__Grn.idat,__Red.idat
