[HEADER],,,,,,
Investigator Name,,,,,,
Phone,,,,,,
EMail,,,,,,
KSt,,,,,,
Project Name,,,,,,
Date,,,,,,
Species,,,,,,
Source,,,,,,
,,,,,,
[DATA],,,,,,
Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
U-22-0162_4B,NA,NA,NA,NA,208567280040,R01C01
U-22-0162_5,NA,NA,NA,NA,208567280040,R02C01
U-22-0300_4B,NA,NA,NA,NA,208567280040,R03C01
U-22-0300_5,NA,NA,NA,NA,208567280040,R04C01
U-22-1650_5,NA,NA,NA,NA,208567280040,R05C01
U-22-1781_4B,NA,NA,NA,NA,208567280040,R06C01
U-22-1781_5,NA,NA,NA,NA,208567280040,R07C01
U-22-1898_4B,NA,NA,NA,NA,208567280040,R08C01
U-22-1898_5,NA,NA,NA,NA,208567280053,R01C01
U-22-1899_5,NA,NA,NA,NA,208567280053,R02C01
U-22-1926_4B,NA,NA,NA,NA,208567280053,R03C01
U-22-1926_5,NA,NA,NA,NA,208567280053,R04C01
U-22-3288_5+6,NA,NA,NA,NA,208567280053,R05C01
U-23-0578_5+6,NA,NA,NA,NA,208567280053,R06C01
NK16neg-212_C,NA,NA,NA,NA,208567280053,R07C01
NK16neg-212_D_DMSO,NA,NA,NA,NA,208567280053,R08C01
NK16neg-212_D_Rapa,NA,NA,NA,NA,208567280054,R01C01
NK16neg-213_C,NA,NA,NA,NA,208567280054,R02C01
NK16neg-213_D_DMSO,NA,NA,NA,NA,208567280054,R03C01
NK16neg-213_D_Rapa,NA,NA,NA,NA,208567280054,R04C01
NK16neg-214_C,NA,NA,NA,NA,208567280054,R05C01
NK16neg-214_D_DMSO,NA,NA,NA,NA,208567280054,R06C01
NK16neg-214_D_Rapa,NA,NA,NA,NA,208567280054,R07C01
NK16pos-212_C,NA,NA,NA,NA,208567280054,R08C01
NK16pos-212_D_DMSO,NA,NA,NA,NA,208567280055,R01C01
NK16pos-212_D_Rapa,NA,NA,NA,NA,208567280055,R02C01
NK16pos-213_C,NA,NA,NA,NA,208567280055,R03C01
NK16pos-213_D_DMSO,NA,NA,NA,NA,208567280055,R04C01
NK16pos-213_D_Rapa,NA,NA,NA,NA,208567280055,R05C01
NK16pos-214_C,NA,NA,NA,NA,208567280055,R06C01
NK16pos-214_D_DMSO,NA,NA,NA,NA,208567280055,R07C01
NK16pos-214_D_Rapa,NA,NA,NA,NA,208567280055,R08C01
